Module,Provisioner,Category,Command Injection via Unsanitized Input,Execution of Unverified Programs,Excessive Permissions,Unsanitized Path Traversal,File Content Injection,Arbitrary Resource Interaction,Insecure Handling of Secrets,Insecure Communication,Non-Idempotent Execution,Inconsistent Configuration
jfklingler-k0s-proxmox-1.0.2,local-exec,low_high,1,1,,,,,,,,1
jfklingler-k0s-proxmox-1.0.2,remote-exec,low_high,,0,,,,,1,,,1
bayudwiyansatria-kubernetes-hcloud-1.0.3,remote-exec,low_high,1,1,,,,,1,,,1
Ferlab-Ste-Justine-kubernetes-installation-null-0.3.0,remote-exec,low_high,1,0,,1,,,1,,,
equinix-metal-ecs-anywhere-equinix-0.1.1,local-exec,low_high,,1,,,,,,,1,1
cloud-native-toolkit-iam-service-authorization-ibm-1.2.14,local-exec,low_medium,1,1,,,,,,,1,1
CloudPediaAI-lambdalayer-python-aws-1.0.0,local-exec,low_medium,1,1,,1,,,,,,1
terraform-magalu-cloud-dbaas-mgc-1.0.0,local-exec,low_medium,,0,,,,,,,,
srb3-workstation-tools-windows-0.0.7,remote-exec,low_low,,1,,,,,1,,,1
cktf-rke-hcloud-1.16.0,remote-exec,low_low,,0,,,,,,,,
atrakic-databricks-azure-0.0.4,data-external,low_low,,0,,,,1,,,,
herabakirova-wordpress-aws-0.0.4,remote-exec,low_low,,0,,,1,,1,,1,1
bigmofree-gcpproject-google-1.0.0,local-exec,low_low,,0,,,,1,,,,
Karribalu-bala-aws-1.0.0,remote-exec,low_low,,0,,,,,1,,,1
gregone-node-do-1.0.3,remote-exec,low_low,,1,,,,,,,,
dabble-of-devops-bioanalyze-eks-bitnami-ssl-aws-0.6.0,local-exec,high_high,1,1,,,,1,,,,1
ftcodelib-cognito-users-aws-0.1.1,local-exec,high_high,1,0,,,,1,,,1,1
WesleyCharlesBlake-vault-aws-0.4.0,local-exec,high_high,1,0,,1,,,1,,,
Invicton-Labs-shell-resource-external-0.4.1,local-exec,high_medium,1,0,,,,1,,,,
trussworks-lambda-aws-3.0.0,local-exec,high_medium,1,1,,,,,,,,
slarimore02-avi-controller-aws-aws-1.0.16,remote-exec,high_medium,1,1,,,,,1,,,1
jparnaudeau-database-admin-postgresql-2.0.3,local-exec,high_medium,1,0,,,,1,,,,
luboleg-ecs-aws-4.0.4,local-exec,high_low,,0,,,,,,,,
babbel-lambda-with-inline-code-aws-1.6.0,local-exec,high_low,,0,,,,,,,,
lazzurs-ecs-aws-4.4.1,local-exec,high_low,,0,,,,,,,,
baikonur-oss-lambda-kinesis-forward-aws-2.0.7,data-external,high_low,1,0,,,1,,,,,
QuiNovas-appsync-graphql-api-endpoint-aws-1.0.3,data-external,high_low,1,1,,,,,,,,
lablabs-asg-lambda-aws-0.1.0,local-exec,high_low,1,0,,1,1,,,,,1
claranet-run-common-azurerm-7.3.1,local-exec,high_low,1,0,,,,1,,,,1
remche-rke-openstack-0.6.6,remote-exec,medium_high,1,0,,,,1,1,,,
Archisman-Mridha-self-managed-k8s-aws-0.1.2,local-exec,medium_high,,0,,,,,1,,,1
Archisman-Mridha-self-managed-k8s-aws-0.1.2,remote-exec,medium_high,1,1,,,,,1,,1,1
vmware-avi-alb-deployment-azure-azurerm-1.0.6,local-exec,medium_high,1,1,,,,,1,,,1
vmware-avi-alb-deployment-azure-azurerm-1.0.6,remote-exec,medium_high,,1,,,,,1,,1,1
matti-heroku-master-kontena-0.0.1,local-exec,medium_high,1,0,,,,,,,,1
Renatochaz-serverless-jenkins-aws-0.1.0,local-exec,medium_high,,1,,,,1,,,,1
dasmeta-modules-any-1.3.0,local-exec,medium_medium,1,0,,,,1,,,,
dasmeta-modules-any-1.3.0,data-external,medium_medium,1,0,,,,,1,,1,1
spotinst-aws-connect-spotinst-0.4.1,local-exec,medium_medium,1,0,,,,,1,,,1
web-virtua-aws-multi-account-modules-iam-user-group-aws-1.0.1,local-exec,medium_medium,1,0,,1,,,1,,1,1
omarabid-vault-hashicorp-0.0.1,remote-exec,medium_low,,0,,,,,,,,
brunordias-ansible-playbook-null-1.1.0,local-exec,medium_low,1,0,,,,1,1,,,
matti-cli-outputs-heroku-0.0.1,data-external,medium_low,1,1,,,,,,,,
matti-node-outputs-kontena-0.0.1,data-external,medium_low,1,1,,,,,,,,
gendall-droplet-docker-digitalocean-0.2.0,remote-exec,medium_low,,0,,,,,1,,,
aditya9441-github-runner-aws-1.0.1,local-exec,medium_low,,0,,,,,,,,1
MrJoshLab-get-secret-kubernetes-0.3.1,local-exec,medium_low,,1,,,,,1,,,
klimer2012-k3s-proxmox-0.1.5,remote-exec,low_high,1,1,,1,,,1,1,1,1
klimer2012-k3s-proxmox-0.1.5,data-external,low_high,,0,,,,,1,1,,
elestio-examples-postgresql-cluster-elestio-0.1.0,remote-exec,low_high,1,0,1,,,,1,,1,1
oracle-devrel-arch-moodle-oci-1.0.0,local-exec,low_high,,0,,,,,,,,
oracle-devrel-arch-moodle-oci-1.0.0,remote-exec,low_high,1,1,,,,,1,,1,1
dell-modules-redfish-1.1.0,local-exec,low_high,1,1,,1,,,1,1,,1
elestio-examples-rabbitmq-cluster-elestio-2.0.0,local-exec,low_medium,1,0,1,,1,,1,,,1
cloud-native-toolkit-hpdbaas-postgresql-ibm-1.1.2,local-exec,low_medium,1,0,,,,,1,,,
4ops-bitcoin-sv-digitalocean-2.0.1,remote-exec,low_medium,1,1,1,,,,1,,,1
rptcloud-vcsa-vsphere-0.1.1,local-exec,low_low,1,1,,,1,,1,1,1,1
sgtoj-artifact-packager-docker-1.3.7,local-exec,low_low,1,0,,1,,,,,,
kislerdm-user-credentials-aws-neon-0.1.1,local-exec,low_low,1,0,,,1,,1,,,1
jrhouston-controlplane-clusterapi-0.6.0,local-exec,low_low,,0,,,,,,,,
anthunt-internal-terraform-null-0.0.4,local-exec,low_low,1,1,,1,,,,,,1
aws-ia-lambda-power-tuning-aws-0.0.1,local-exec,low_low,,0,,,,,,,,1
terraform-alicloud-modules-jenkins-alicloud-1.1.0,remote-exec,low_low,,1,,,,,,,1,1
MitocGroup-landing-zone-reader-aws-0.0.1,local-exec,high_high,,1,,1,,1,,,1,1
imperva-dsf-hadr-null-1.7.16,remote-exec,high_high,1,1,,1,,,1,,,1
Eimert-compute-engine-instance-google-0.0.7,local-exec,high_high,1,0,,,,1,1,,,1
IGNW-jenkins-aws-0.0.1,remote-exec,high_high,1,1,,,1,,1,1,,1
DeimosCloud-openvpn-google-2.4.0,local-exec,high_high,1,1,,1,,,1,1,,1
DeimosCloud-openvpn-google-2.4.0,remote-exec,high_high,1,1,,,,,,,,1
imperva-dsf-dra-analytics-aws-1.7.16,local-exec,high_medium,1,0,,,,,,,,1
rhythmictech-asg-rolling-restart-lambda-aws-1.1.1,local-exec,high_medium,1,0,,,,,,,,
rhythmictech-asg-rolling-restart-lambda-aws-1.1.1,data-external,high_medium,,1,,,,,,,,
dcos-terraform-dcos-install-private-agents-remote-exec-null-0.1.1,remote-exec,high_medium,1,0,,,,,,,,1
plus3it-tardigrade-ram-principal-association-aws-4.0.0,local-exec,high_low,,0,,,,,,,,
rhythmictech-elblogging-bucket-aws-1.7.0,local-exec,high_low,,0,,,,1,,,,1
riboseinc-lambda-edge-authentication-aws-1.0.1,local-exec,high_low,,0,,,1,,1,,,
kolluridivya-ec2-sg-aws-1.0.1,remote-exec,high_low,,0,,,,,1,,,
dcos-terraform-dcos-install-bootstrap-remote-exec-null-0.1.1,remote-exec,high_low,,1,,,1,,,,,
ninthnails-camellia-image-aws-1.10.0,local-exec,high_low,,0,,,,,,,,
ninthnails-camellia-image-aws-1.10.0,remote-exec,high_low,1,0,,,,,,,,1
Kalepa-uuid-random-0.2.1,data-external,high_low,,0,,,,,,,,
robin-zhao-cloudwatch-metrics-for-ec2-aws-1.0.3,data-external,high_low,1,1,,,,1,,,,
matti-cloud-platform-kontena-0.0.4,local-exec,medium_high,1,0,,,,1,,,,1
upmaru-instellar-aws-0.9.5,remote-exec,medium_high,1,0,,,,1,,,,1
cloud-native-toolkit-access-group-ibm-3.1.8,local-exec,medium_high,1,1,,,,1,,,,
adacotech-api-auth-proxy-aws-0.2.0,local-exec,medium_medium,,1,,,,,,,,1
dasmeta-shared-any-1.4.0,local-exec,medium_medium,1,0,,,,1,,,,
dasmeta-shared-any-1.4.0,data-external,medium_medium,1,0,,,,,1,,,1
HardikTilwani-ec2-instance-aws-1.0.0,remote-exec,medium_medium,,0,,,,,,,1,1
gloria-daemonia-ec2-k8s-cluster-aws-1.0.5,local-exec,medium_medium,1,0,,,,1,,,1,1
toluna-terraform-ecs-appmesh-aws-0.2.0,data-external,medium_low,1,1,,,,1,,,,1
dabble-of-devops-bioanalyze-keypair-aws-1.3.0,local-exec,medium_low,1,0,,1,,,,,,
DiagVN-config-map-from-gcp-storage-kubernetes-1.0.0,data-external,medium_low,,0,,,,,,,,1
popravak-linuxvm-webserver-azurerm-1.0.18,local-exec,medium_low,,0,,,,,1,,,
stroeer-health-aware-aws-1.0.20,local-exec,medium_low,,0,,,,,,,,1
AlexReisSantos-aks-azure-1.5.2-alpha.1072437.0,local-exec,medium_low,,0,,,,,,,,
a0134611-bastion-with-loadbalancer-aws-1.1.0,local-exec,medium_low,,0,,,,,,,,
mildred-hashistack.tf-local-0.0.1,local-exec,low_high,1,0,,,1,,1,,,
